# 京浜東北: 編成情報

-TypeName: JR東日本 E233 系電車 (1000 番台)
宮サイ166: クハE233-1066, サハE233-1266, モハE233-1466, モハE232-1466, サハE233-1066, モハE233-1066, モハE232-1066, モハE233-1266, モハE232-1266, クハE232-1066
宮サイ167: クハE233-1067, サハE233-1267, モハE233-1467, モハE232-1467, サハE233-1067, モハE233-1067, モハE232-1067, モハE233-1267, モハE232-1267, クハE232-1067
宮サイ168: クハE233-1068, サハE233-1268, モハE233-1468, モハE232-1468, サハE233-1068, モハE233-1068, モハE232-1068, モハE233-1268, モハE232-1268, クハE232-1068
宮サイ169: クハE233-1069, サハE233-1269, モハE233-1469, モハE232-1469, サハE233-1069, モハE233-1069, モハE232-1069, モハE233-1269, モハE232-1269, クハE232-1069
宮サイ170: クハE233-1070, サハE233-1270, モハE233-1470, モハE232-1470, サハE233-1070, モハE233-1070, モハE232-1070, モハE233-1270, モハE232-1270, クハE232-1070
宮サイ171: クハE233-1071, サハE233-1271, モハE233-1471, モハE232-1471, サハE233-1071, モハE233-1071, モハE232-1071, モハE233-1271, モハE232-1271, クハE232-1071
宮サイ172: クハE233-1072, サハE233-1272, モハE233-1472, モハE232-1472, サハE233-1072, モハE233-1072, モハE232-1072, モハE233-1272, モハE232-1272, クハE232-1072
宮サイ173: クハE233-1073, サハE233-1273, モハE233-1473, モハE232-1473, サハE233-1073, モハE233-1073, モハE232-1073, モハE233-1273, モハE232-1273, クハE232-1073
宮サイ174: クハE233-1074, サハE233-1274, モハE233-1474, モハE232-1474, サハE233-1074, モハE233-1074, モハE232-1074, モハE233-1274, モハE232-1274, クハE232-1074
宮サイ175: クハE233-1075, サハE233-1275, モハE233-1475, モハE232-1475, サハE233-1075, モハE233-1075, モハE232-1075, モハE233-1275, モハE232-1275, クハE232-1075
宮サイ176: クハE233-1076, サハE233-1276, モハE233-1476, モハE232-1476, サハE233-1076, モハE233-1076, モハE232-1076, モハE233-1276, モハE232-1276, クハE232-1076
宮サイ177: クハE233-1077, サハE233-1277, モハE233-1477, モハE232-1477, サハE233-1077, モハE233-1077, モハE232-1077, モハE233-1277, モハE232-1277, クハE232-1077
宮サイ178: クハE233-1078, サハE233-1278, モハE233-1478, モハE232-1478, サハE233-1078, モハE233-1078, モハE232-1078, モハE233-1278, モハE232-1278, クハE232-1078
宮サイ179: クハE233-1079, サハE233-1279, モハE233-1479, モハE232-1479, サハE233-1079, モハE233-1079, モハE232-1079, モハE233-1279, モハE232-1279, クハE232-1079
宮サイ180: クハE233-1080, サハE233-1280, モハE233-1480, モハE232-1480, サハE233-1080, モハE233-1080, モハE232-1080, モハE233-1280, モハE232-1280, クハE232-1080
宮サイ181: クハE233-1081, サハE233-1281, モハE233-1481, モハE232-1481, サハE233-1081, モハE233-1081, モハE232-1081, モハE233-1281, モハE232-1281, クハE232-1081
宮サイ182: クハE233-1082, サハE233-1282, モハE233-1482, モハE232-1482, サハE233-1082, モハE233-1082, モハE232-1082, モハE233-1282, モハE232-1282, クハE232-1082
宮サイ183: クハE233-1083, サハE233-1283, モハE233-1483, モハE232-1483, サハE233-1083, モハE233-1083, モハE232-1083, モハE233-1283, モハE232-1283, クハE232-1083
